bones,Type,Id,HandId,TipPosition_X,TipPosition_Y,TipPosition_Z,Direction_X,Direction_Y,Direction_Z,Width,Length,IsExtended,TimeVisible
Leap.Bone[],TYPE_INDEX,591,59,-0.0615289, -0.1210013, 0.164257,-0.3358168, 0.4246843, 0.8407561,0.0197988,0.05488217,True,0.026682
Leap.Bone[],TYPE_INDEX,591,59,-0.06169594, -0.1117295, 0.1795619,-0.4045095, 0.1857511, 0.895471,0.01953182,0.05201282,True,0.067407
Leap.Bone[],TYPE_INDEX,591,59,-0.06194691, -0.1115853, 0.1856676,-0.3994635, 0.2133027, 0.8915889,0.01953182,0.05191641,True,0.087441
Leap.Bone[],TYPE_INDEX,591,59,-0.0630458, -0.1140486, 0.1910036,-0.3935805, 0.1269188, 0.9104869,0.01953182,0.05191346,True,0.106876
Leap.Bone[],TYPE_INDEX,591,59,-0.06500477, -0.1120886, 0.1960593,-0.3912162, 0.1019394, 0.9146357,0.01953182,0.05254413,True,0.127152
Leap.Bone[],TYPE_INDEX,591,59,-0.06500477, -0.1120886, 0.1960593,-0.3912162, 0.1019394, 0.9146357,0.01953182,0.05254413,True,0.127152
Leap.Bone[],TYPE_INDEX,591,59,-0.06659474, -0.1113449, 0.2039097,-0.3938316, 0.1267875, 0.9103965,0.01953182,0.05254301,True,0.146339
Leap.Bone[],TYPE_INDEX,591,59,-0.06659474, -0.1113449, 0.2039097,-0.3938316, 0.1267875, 0.9103965,0.01953182,0.05254301,True,0.146339
Leap.Bone[],TYPE_INDEX,591,59,-0.06697738, -0.1122774, 0.2119891,-0.3816229, 0.1430128, 0.913187,0.01953182,0.05201995,True,0.166282
Leap.Bone[],TYPE_INDEX,591,59,-0.06651012, -0.1180097, 0.2208087,-0.3541436, 0.01526132, 0.9350669,0.01953182,0.05197248,True,0.186857
Leap.Bone[],TYPE_INDEX,591,59,-0.06651012, -0.1180097, 0.2208087,-0.3541436, 0.01526132, 0.9350669,0.01953182,0.05197248,True,0.186857
Leap.Bone[],TYPE_INDEX,591,59,-0.06745825, -0.1209722, 0.2281966,-0.3548778, -0.0524129, 0.9334424,0.01953182,0.05209617,True,0.20631
Leap.Bone[],TYPE_INDEX,591,59,-0.06760901, -0.12107, 0.2366609,-0.3455155, -0.0440427, 0.9373785,0.01953182,0.05170633,True,0.226788
Leap.Bone[],TYPE_INDEX,591,59,-0.06760901, -0.12107, 0.2366609,-0.3455155, -0.0440427, 0.9373785,0.01953182,0.05170633,True,0.226788
Leap.Bone[],TYPE_INDEX,591,59,-0.06529014, -0.126125, 0.2446209,-0.3182597, -0.06250061, 0.9459416,0.01953182,0.05117721,True,0.246253
Leap.Bone[],TYPE_INDEX,591,59,-0.06529014, -0.126125, 0.2446209,-0.3182597, -0.06250061, 0.9459416,0.01953182,0.05117721,True,0.246253
Leap.Bone[],TYPE_INDEX,591,59,-0.06482257, -0.128467, 0.2520723,-0.3105235, -0.09363285, 0.9459423,0.01953182,0.05076345,True,0.266127
Leap.Bone[],TYPE_INDEX,591,59,-0.064703, -0.1296999, 0.2598844,-0.3098366, -0.1186699, 0.9433551,0.01953182,0.0506186,True,0.286647
Leap.Bone[],TYPE_INDEX,591,59,-0.064703, -0.1296999, 0.2598844,-0.3098366, -0.1186699, 0.9433551,0.01953182,0.0506186,True,0.286647
Leap.Bone[],TYPE_INDEX,591,59,-0.06501412, -0.1292837, 0.266532,-0.3067098, -0.09301201, 0.9472476,0.01953182,0.05064658,True,0.306125
Leap.Bone[],TYPE_INDEX,591,59,-0.06525185, -0.1309029, 0.2733306,-0.3006685, -0.09630156, 0.9488549,0.01953182,0.05058651,True,0.327792
Leap.Bone[],TYPE_INDEX,591,59,-0.06525185, -0.1309029, 0.2733306,-0.3006685, -0.09630156, 0.9488549,0.01953182,0.05058651,True,0.327792
Leap.Bone[],TYPE_INDEX,591,59,-0.06669873, -0.1310279, 0.2776797,-0.3066685, -0.08384144, 0.9481166,0.01953182,0.05060264,True,0.345964
Leap.Bone[],TYPE_INDEX,591,59,-0.06669873, -0.1310279, 0.2776797,-0.3066685, -0.08384144, 0.9481166,0.01953182,0.05060264,True,0.345964
Leap.Bone[],TYPE_INDEX,591,59,-0.06721937, -0.1308311, 0.2836519,-0.2992103, -0.1355858, 0.9445055,0.01953182,0.0510941,True,0.365937
