bones,Type,Id,HandId,TipPosition_X,TipPosition_Y,TipPosition_Z,Direction_X,Direction_Y,Direction_Z,Width,Length,IsExtended,TimeVisible
Leap.Bone[],TYPE_MIDDLE,632,63,-0.005762724, -0.1145736, 0.2138066,-0.1337525, 0.1454265, 0.9802862,0.01913051,0.07005721,True,0.028701
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02725643, -0.1133427, 0.2356825,-0.07449646, -0.1186758, 0.9901344,0.01907793,0.05883981,True,0.109456
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02809022, -0.1112643, 0.2435557,-0.07023309, -0.100974, 0.9924067,0.01907793,0.05899555,True,0.130527
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02829696, -0.1143408, 0.2500762,-0.04598237, -0.1371266, 0.9894856,0.01907793,0.05929239,True,0.148797
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02829696, -0.1143408, 0.2500762,-0.04598237, -0.1371266, 0.9894856,0.01907793,0.05929239,True,0.148797
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02892553, -0.1112878, 0.2576049,-0.04110069, -0.07264216, 0.996511,0.01907793,0.05933121,True,0.168107
Leap.Bone[],TYPE_MIDDLE,632,63,-0.03150903, -0.1155916, 0.2633595,-0.07543055, -0.1101169, 0.9910517,0.01907793,0.05897589,True,0.188619
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02927813, -0.1190729, 0.2710267,-0.04870971, -0.1205386, 0.9915122,0.01907793,0.05855773,True,0.208648
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02927813, -0.1190729, 0.2710267,-0.04870971, -0.1205386, 0.9915122,0.01907793,0.05855773,True,0.208648
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02722705, -0.1226104, 0.2770523,-0.02251139, -0.1562353, 0.9874632,0.01907793,0.05848341,True,0.228056
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02722705, -0.1226104, 0.2770523,-0.02251139, -0.1562353, 0.9874632,0.01907793,0.05848341,True,0.228056
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02579883, -0.1233168, 0.2835679,0.001436303, -0.152851, 0.9882481,0.01907793,0.05841164,True,0.248038
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02590692, -0.1241886, 0.2895211,0.005961454, -0.164956, 0.9862832,0.01907793,0.05852842,True,0.268603
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02590692, -0.1241886, 0.2895211,0.005961454, -0.164956, 0.9862832,0.01907793,0.05852842,True,0.268603
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02519927, -0.1251595, 0.2945435,0.01872687, -0.173597, 0.9846392,0.01907793,0.0586792,True,0.288035
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02519927, -0.1251595, 0.2945435,0.01872687, -0.173597, 0.9846392,0.01907793,0.0586792,True,0.288035
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02457134, -0.1277854, 0.300404,0.02420278, -0.17824, 0.9836899,0.01907793,0.05884309,True,0.307981
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02457134, -0.1277854, 0.300404,0.02420278, -0.17824, 0.9836899,0.01907793,0.05884309,True,0.307981
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02250056, -0.1307068, 0.3052627,0.04157723, -0.1892236, 0.9810535,0.01907793,0.05844878,True,0.327918
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02163193, -0.1314808, 0.309941,0.05127525, -0.1968798, 0.9790857,0.01907793,0.05853119,True,0.348427
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02163193, -0.1314808, 0.309941,0.05127525, -0.1968798, 0.9790857,0.01907793,0.05853119,True,0.348427
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02011527, -0.1337443, 0.3141941,0.05897169, -0.215011, 0.9748303,0.01907793,0.05823477,True,0.367832
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02011527, -0.1337443, 0.3141941,0.05897169, -0.215011, 0.9748303,0.01907793,0.05823477,True,0.367832
Leap.Bone[],TYPE_MIDDLE,632,63,-0.02022112, -0.1306649, 0.3197984,0.03709306, -0.1685174, 0.9850006,0.01907793,0.05838695,True,0.387828
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01925868, -0.1319633, 0.323711,0.04902026, -0.1658836, 0.9849269,0.01907793,0.05802832,True,0.408392
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01925868, -0.1319633, 0.323711,0.04902026, -0.1658836, 0.9849269,0.01907793,0.05802832,True,0.408392
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01888999, -0.1349348, 0.3267812,0.05136373, -0.2096226, 0.9764327,0.01907793,0.05790088,True,0.427773
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01888999, -0.1349348, 0.3267812,0.05136373, -0.2096226, 0.9764327,0.01907793,0.05790088,True,0.427773
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01729975, -0.1363557, 0.3304349,0.0602169, -0.2257937, 0.9723119,0.01907793,0.05788382,True,0.447768
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01533265, -0.1367673, 0.3334,0.06704435, -0.2163946, 0.9740007,0.01907793,0.05778262,True,0.468328
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01533265, -0.1367673, 0.3334,0.06704435, -0.2163946, 0.9740007,0.01907793,0.05778262,True,0.468328
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01375235, -0.1368719, 0.3360217,0.0714443, -0.2171596, 0.9735192,0.01907793,0.05777961,True,0.48769
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01375235, -0.1368719, 0.3360217,0.0714443, -0.2171596, 0.9735192,0.01907793,0.05777961,True,0.48769
Leap.Bone[],TYPE_MIDDLE,632,63,-0.0126146, -0.1363479, 0.3380754,0.07647646, -0.2240932, 0.9715623,0.01907793,0.0577371,True,0.507632
Leap.Bone[],TYPE_MIDDLE,632,63,-0.0126146, -0.1363479, 0.3380754,0.07647646, -0.2240932, 0.9715623,0.01907793,0.0577371,True,0.507632
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01272844, -0.1350056, 0.3417989,0.07030446, -0.2466682, 0.9665461,0.01907793,0.0580142,True,0.527689
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01315007, -0.1336897, 0.3457358,0.0540374, -0.2655051, 0.9625941,0.01907793,0.0580994,True,0.54815
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01315007, -0.1336897, 0.3457358,0.0540374, -0.2655051, 0.9625941,0.01907793,0.0580994,True,0.54815
Leap.Bone[],TYPE_MIDDLE,632,63,-0.0127416, -0.1324799, 0.3490534,0.04910965, -0.2646247, 0.9631005,0.01907793,0.05796258,True,0.56756
Leap.Bone[],TYPE_MIDDLE,632,63,-0.0127416, -0.1324799, 0.3490534,0.04910965, -0.2646247, 0.9631005,0.01907793,0.05796258,True,0.56756
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01171343, -0.1322276, 0.3511744,0.05156114, -0.260652, 0.9640559,0.01907793,0.05789253,True,0.587507
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01090027, -0.1335622, 0.3533535,0.05628741, -0.2841323, 0.9571312,0.01907793,0.05791918,True,0.608207
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01090027, -0.1335622, 0.3533535,0.05628741, -0.2841323, 0.9571312,0.01907793,0.05791918,True,0.608207
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01006231, -0.130153, 0.3564441,0.04895864, -0.2287591, 0.9722506,0.01907793,0.05846788,True,0.627408
Leap.Bone[],TYPE_MIDDLE,632,63,-0.01006231, -0.130153, 0.3564441,0.04895864, -0.2287591, 0.9722506,0.01907793,0.05846788,True,0.627408
Leap.Bone[],TYPE_MIDDLE,632,63,-0.009592844, -0.126758, 0.3596444,0.04410922, -0.197503, 0.9793093,0.01907793,0.05879676,True,0.647405
Leap.Bone[],TYPE_MIDDLE,632,63,-0.009218247, -0.1235523, 0.3626919,0.04232993, -0.162567, 0.9857895,0.01907793,0.05909046,True,0.668255
