thumb_mcp, thumb_pip, thumb_hes, index_mcp, index_pip, middle_mcp, middle_pip,Label
762,748,701,616,640,719,657,0
761,750,704,616,640,704,653,0
761,749,704,616,643,718,652,0
760,752,701,617,637,709,655,0
761,750,697,615,644,716,654,0
767,753,706,616,641,714,658,0
758,749,700,619,645,716,654,0
765,749,702,612,642,714,658,0
758,749,704,615,645,713,648,0
764,752,706,614,635,710,656,0
754,747,699,618,641,718,657,0
760,752,704,617,639,713,655,0
760,746,703,617,641,712,655,0
763,750,700,614,640,713,659,0
761,747,704,617,644,716,656,0
758,748,701,613,640,713,661,0
757,750,703,620,641,712,657,0
762,752,699,612,641,716,662,0
756,745,701,616,643,713,653,0
759,751,704,616,638,711,655,0
762,752,704,615,637,714,658,0
763,748,700,615,643,719,662,0
756,748,704,620,643,711,657,0
761,752,706,619,642,718,656,0
766,753,702,616,636,713,655,0
763,744,696,615,644,717,657,0
759,751,705,621,642,710,653,0
770,754,703,615,641,714,659,0
767,750,700,616,642,718,660,0
760,746,702,621,644,719,654,0
763,748,704,618,637,710,656,0
762,750,699,615,642,715,654,0
761,749,707,616,641,717,659,0
755,747,705,618,649,717,655,0
765,753,706,617,637,711,656,0
765,748,699,616,641,718,655,0
764,748,701,619,644,718,656,0
757,748,711,621,638,711,651,0
765,752,702,614,637,714,659,0
760,746,700,614,643,716,658,0
761,749,702,617,640,714,656,0
757,749,706,618,642,713,651,0
766,754,700,611,640,716,661,0
759,746,700,616,647,720,655,0
762,751,706,620,642,713,652,0
764,756,706,615,633,714,658,0
761,751,699,615,643,720,657,0
760,749,707,619,640,715,654,0
769,752,700,616,639,713,657,0
764,752,705,618,646,714,658,0
766,750,698,615,646,718,664,0
756,749,706,618,640,713,650,0
764,754,704,616,644,715,659,0
763,751,701,618,642,719,660,0
762,747,705,623,649,717,656,0
764,755,701,616,640,714,656,0
763,748,702,619,645,719,655,0
764,754,703,616,638,715,658,0
763,749,702,616,643,718,656,0
766,756,705,619,641,714,659,0
761,754,703,618,642,718,658,0
763,750,701,617,643,718,656,0
760,754,708,619,644,715,662,0
764,751,703,617,643,719,660,0
762,753,705,617,640,711,657,0
766,750,703,617,644,720,660,0
762,750,704,616,647,713,655,0
766,753,704,611,641,716,653,0
765,750,704,616,642,717,662,0
761,754,697,620,642,719,658,0
759,753,704,615,642,716,659,0
765,752,703,620,642,716,658,0
765,753,703,616,638,717,660,0
758,749,706,621,647,719,659,0
764,756,708,618,641,713,659,0
764,747,703,617,647,719,661,0
763,752,702,617,649,718,656,0
763,752,704,616,637,717,657,0
758,749,701,615,641,718,656,0
759,750,706,623,639,716,657,0
761,748,707,620,649,716,658,0
765,754,705,621,646,714,657,0
765,746,701,616,645,714,662,0
757,749,705,619,644,717,648,0
768,756,707,622,641,714,661,0
765,751,701,615,643,715,661,0
760,746,703,619,650,718,658,0
768,749,703,620,650,717,654,0
761,752,705,619,642,718,653,0
764,750,701,617,640,718,657,0
760,748,702,621,641,719,654,0
762,753,706,618,640,714,655,0
766,749,699,616,644,720,660,0
762,750,706,619,643,721,656,0
764,745,706,620,645,717,654,0
767,755,705,620,643,720,657,0
768,754,703,618,646,719,654,0
762,751,701,621,643,718,657,0
764,753,703,617,641,713,656,0
768,752,701,619,645,717,666,0
761,748,703,622,641,718,659,0
765,753,706,616,642,715,657,0
766,749,707,620,647,718,660,0
765,748,704,618,643,718,652,0
765,750,704,620,642,718,655,0
766,751,702,620,644,720,657,0
763,754,698,616,642,719,659,0
761,748,702,622,644,717,656,0
760,754,706,616,644,715,654,0
765,751,700,620,643,721,658,0
762,749,710,618,645,721,655,0
762,752,706,620,642,718,656,0
762,754,705,617,643,717,653,0
762,748,699,619,639,713,655,0
762,752,700,618,643,719,656,0
758,750,704,619,640,717,652,0
769,753,703,620,643,714,660,0
762,749,702,620,638,717,652,0
762,751,702,620,644,718,661,0
762,753,703,620,641,716,653,0
765,753,698,617,646,719,656,0
761,749,702,617,645,718,659,0
762,751,703,619,644,716,655,0
765,752,704,623,642,716,661,0
761,753,701,618,646,721,659,0
760,751,704,617,641,715,657,0
764,750,700,616,641,721,662,0
764,751,704,617,644,714,656,0
763,749,701,617,645,719,652,0
764,752,698,620,643,719,656,0
764,750,701,614,641,718,662,0
764,753,701,614,644,716,658,0
761,750,705,617,647,717,657,0
764,755,705,619,645,711,657,0
758,750,701,620,645,722,657,0
762,752,705,621,645,717,657,0
762,754,702,618,643,718,658,0
766,753,702,617,637,715,651,0
759,750,701,618,643,720,656,0
763,748,702,619,637,716,657,0
762,751,703,620,644,716,656,0
761,751,701,619,641,717,658,0
758,746,704,620,646,714,654,0
755,754,700,614,645,719,656,0
758,750,697,621,648,716,653,0
763,752,700,615,641,719,656,0
762,752,701,621,646,716,655,0
762,753,701,616,644,718,655,0
760,751,704,622,642,715,653,0
762,749,698,615,644,719,658,0
761,749,703,620,640,714,657,0
765,750,699,618,648,717,657,0
760,753,703,621,643,719,658,0
765,752,701,618,648,719,661,0
762,753,704,618,641,717,656,0
763,751,700,620,642,719,661,0
757,754,702,619,646,716,658,0
760,750,700,620,646,720,665,0
764,753,701,619,643,717,660,0
764,746,700,620,644,723,657,0
761,752,704,620,641,712,650,0
758,752,702,617,644,718,657,0
762,750,702,620,644,718,656,0
758,746,702,621,642,719,657,0
764,755,704,620,645,714,657,0
761,751,709,619,641,718,656,0
766,753,703,617,641,720,659,0
758,748,703,623,641,715,649,0
764,751,703,617,639,714,658,0
764,750,700,620,649,721,651,0
758,750,699,615,645,719,659,0
761,751,705,622,641,716,653,0
769,754,702,617,643,717,650,0
759,748,699,621,649,718,656,0
757,750,700,617,648,719,664,0
757,750,705,620,641,715,657,0
768,749,700,616,642,717,662,0
760,746,701,619,648,720,654,0
759,748,703,623,649,716,649,0
761,756,697,614,638,712,652,0
762,745,697,617,646,723,662,0
761,753,704,622,652,713,656,0
761,752,702,620,644,717,658,0
765,755,702,617,643,715,657,0
764,748,697,618,649,723,659,0
758,750,706,623,644,713,655,0
765,751,704,621,644,714,656,0
766,752,698,618,643,720,662,0
753,744,698,623,650,722,653,0
765,757,709,620,640,716,657,0
764,750,703,617,645,719,660,0
760,750,702,613,647,721,659,0
756,749,699,624,654,716,655,0
761,760,706,619,644,715,659,0
765,751,699,618,644,720,660,0
762,748,701,617,649,723,656,0
758,753,709,627,645,716,650,0
771,755,701,613,642,717,663,0
757,748,699,624,651,722,656,0
762,752,704,620,645,718,657,0
768,757,705,620,643,717,662,0
768,754,703,621,644,719,658,0
761,748,701,622,650,721,657,0
759,752,702,624,647,719,655,0
764,756,703,618,644,717,661,0
760,745,697,620,655,726,660,0
760,750,707,625,652,718,661,0
766,753,700,617,645,720,662,0
761,751,704,619,643,718,656,0
760,750,704,622,648,721,660,0
762,753,704,623,647,719,659,0
763,752,703,623,646,719,662,0
763,753,696,618,644,723,661,0
758,750,705,619,648,719,659,0
764,757,702,620,647,719,664,0
760,750,702,626,649,723,659,0
763,755,701,620,646,715,661,0
763,751,704,621,645,723,657,0
760,748,703,623,642,717,664,0
762,752,704,622,644,721,659,0
762,752,704,622,647,721,658,0
763,752,704,623,645,717,658,0
761,749,702,620,648,723,660,0
761,752,701,627,644,717,657,0
764,752,696,619,646,722,662,0
757,750,704,623,647,720,657,0
765,757,704,620,646,719,661,0
749,750,701,621,647,723,660,0
757,750,705,623,646,719,653,0
764,756,702,621,645,722,657,0
757,751,701,620,650,722,661,0
767,756,698,622,648,723,659,0
759,753,703,624,646,719,660,0
765,755,706,620,644,715,663,0
761,747,701,624,649,726,661,0
759,752,705,623,649,718,660,0
765,758,705,623,646,720,657,0
763,749,702,620,648,722,661,0
763,752,702,624,645,717,657,0
761,748,697,622,642,721,660,0
764,753,705,623,646,715,659,0
760,752,696,625,643,724,659,0
760,752,705,625,649,719,658,0
766,750,702,618,643,717,661,0
764,751,702,622,646,720,658,0
761,754,706,623,649,723,656,0
764,753,703,617,646,721,657,0
764,756,706,619,650,719,660,0
763,753,702,617,645,720,657,0
761,754,703,622,650,721,659,0
765,755,702,620,647,719,661,0
764,751,697,619,649,724,663,0
761,754,706,622,649,720,656,0
761,756,704,623,651,719,658,0
766,746,702,622,648,720,659,0
763,750,704,624,646,721,658,0
765,753,709,619,645,719,659,0
762,753,707,624,643,719,660,0
761,749,701,618,645,725,663,0
756,748,705,623,655,723,658,0
765,755,706,620,644,719,667,0
764,751,701,624,644,722,659,0
763,749,700,623,650,721,657,0
759,755,706,623,647,722,660,0
760,753,701,619,649,721,653,0
763,758,701,620,645,723,660,0
762,751,703,626,647,723,659,0
764,756,703,619,638,717,658,0
762,754,700,619,648,720,661,0
761,753,704,621,648,722,659,0
761,749,705,625,642,719,661,0
765,753,702,619,647,722,662,0
757,753,703,624,648,719,656,0
763,750,699,623,647,720,662,0
762,755,703,623,645,721,658,0
765,751,700,622,648,719,665,0
759,751,703,621,650,719,660,0
766,750,705,624,645,718,661,0
762,752,701,624,646,719,661,0
762,749,706,618,645,723,662,0
763,753,703,623,650,721,661,0
764,751,703,622,647,722,660,0
763,754,703,619,649,717,659,0
758,749,698,622,651,723,657,0
761,752,704,626,649,720,657,0
763,754,699,619,648,720,659,0
764,754,703,622,647,721,662,0
758,751,703,623,646,722,657,0
763,754,702,621,645,715,660,0
763,751,701,627,647,721,654,0
764,754,699,618,645,720,664,0
758,746,703,623,647,718,656,0
764,754,702,617,646,716,662,0
763,747,703,624,645,722,662,0
763,751,701,621,648,720,662,0
759,752,703,625,651,716,658,0
765,750,702,620,647,720,664,0
760,753,702,623,645,719,660,0
754,750,699,621,646,717,663,0
758,752,704,621,649,718,656,0
763,754,702,621,645,721,662,0
761,753,697,623,654,721,656,0
761,755,704,624,645,722,658,0
763,753,701,623,644,718,658,0
762,750,700,620,647,721,659,0
759,751,703,622,646,716,660,0
762,754,699,621,647,722,660,0
765,753,701,625,648,718,662,0
764,751,698,620,655,723,660,0
757,752,706,625,641,719,657,0
763,753,699,621,646,722,661,0
760,749,708,620,644,717,659,0
761,751,700,625,649,719,659,0
765,756,706,623,644,721,661,0
759,748,701,623,645,724,655,0
762,755,705,618,645,719,659,0
762,745,704,624,648,721,652,0
764,756,704,619,649,718,658,0
758,752,699,621,648,723,659,0
759,752,702,622,647,719,659,0
762,753,704,624,647,719,658,0
766,752,706,622,645,724,663,0
754,747,703,625,651,721,654,0
766,756,702,617,647,718,658,0
762,752,704,620,648,722,655,0
761,751,699,624,648,724,661,0
755,751,704,626,652,719,657,0
761,755,700,622,646,718,655,0
766,755,702,621,647,720,660,0
762,750,697,623,649,725,661,0
759,756,706,629,643,717,654,0
767,755,698,617,646,720,656,0
756,748,703,624,652,724,655,0
760,754,699,621,649,723,654,0
754,754,703,623,642,720,658,0
767,751,700,619,647,725,667,0
765,750,698,622,650,722,653,0
755,748,701,623,649,721,656,0
766,757,707,620,645,718,659,0
769,748,697,620,652,728,663,0
759,753,704,629,650,721,658,0
761,755,699,624,646,717,658,0
762,755,700,619,646,725,662,0
754,744,700,626,651,723,659,0
763,753,704,626,646,721,659,0
762,752,705,626,644,718,659,0
767,753,698,617,646,722,666,0
755,746,702,627,653,722,658,0
762,756,708,622,647,715,659,0
767,754,702,618,645,722,661,0
763,750,701,620,650,724,660,0
758,754,704,625,650,721,654,0
763,754,702,621,646,721,656,0
765,754,702,623,648,724,660,0
760,749,703,625,653,726,658,0
760,756,708,626,648,717,656,0
767,760,701,617,645,724,661,0
760,749,702,626,654,726,660,0
758,753,704,624,649,718,659,0
768,755,705,621,649,721,661,0
761,751,702,620,645,724,658,0
764,754,702,622,649,724,663,0
764,754,702,624,653,722,660,0
768,755,708,622,647,724,663,0
761,750,697,625,652,725,661,0
760,754,706,626,648,717,660,0
764,755,701,623,650,723,664,0
762,752,702,621,651,725,663,0
759,754,701,620,650,721,660,0
762,751,705,623,653,721,662,0
754,754,706,625,642,722,660,0
761,752,701,622,645,725,663,0
766,753,706,624,648,719,656,0
766,755,700,623,647,721,664,0
764,752,703,625,651,724,663,0
761,754,708,627,652,719,658,0
763,753,702,621,646,722,663,0
763,753,704,626,643,722,661,0
766,756,703,622,651,722,662,0
758,752,702,623,650,724,661,0
764,757,704,626,649,721,659,0
762,752,704,620,652,727,659,0
762,755,703,624,648,722,659,0
761,752,700,621,649,723,662,0
760,754,702,625,641,722,659,0
763,757,702,623,649,721,663,0
