thumb_mcp, thumb_pip, thumb_hes, index_mcp, index_pip, middle_mcp, middle_pip,Label
190.5,187,175.25,154,160,179.75,164.25,0
190.25,187.5,176,154,160,176,163.25,0
190.25,187.25,176,154,160.75,179.5,163,0
190,188,175.25,154.25,159.25,177.25,163.75,0
190.25,187.5,174.25,153.75,161,179,163.5,0
191.75,188.25,176.5,154,160.25,178.5,164.5,0
189.5,187.25,175,154.75,161.25,179,163.5,0
191.25,187.25,175.5,153,160.5,178.5,164.5,0
189.5,187.25,176,153.75,161.25,178.25,162,0
191,188,176.5,153.5,158.75,177.5,164,0
188.5,186.75,174.75,154.5,160.25,179.5,164.25,0
190,188,176,154.25,159.75,178.25,163.75,0
190,186.5,175.75,154.25,160.25,178,163.75,0
190.75,187.5,175,153.5,160,178.25,164.75,0
190.25,186.75,176,154.25,161,179,164,0
189.5,187,175.25,153.25,160,178.25,165.25,0
189.25,187.5,175.75,155,160.25,178,164.25,0
190.5,188,174.75,153,160.25,179,165.5,0
189,186.25,175.25,154,160.75,178.25,163.25,0
189.75,187.75,176,154,159.5,177.75,163.75,0
190.5,188,176,153.75,159.25,178.5,164.5,0
190.75,187,175,153.75,160.75,179.75,165.5,0
189,187,176,155,160.75,177.75,164.25,0
190.25,188,176.5,154.75,160.5,179.5,164,0
191.5,188.25,175.5,154,159,178.25,163.75,0
190.75,186,174,153.75,161,179.25,164.25,0
189.75,187.75,176.25,155.25,160.5,177.5,163.25,0
192.5,188.5,175.75,153.75,160.25,178.5,164.75,0
191.75,187.5,175,154,160.5,179.5,165,0
190,186.5,175.5,155.25,161,179.75,163.5,0
190.75,187,176,154.5,159.25,177.5,164,0
190.5,187.5,174.75,153.75,160.5,178.75,163.5,0
190.25,187.25,176.75,154,160.25,179.25,164.75,0
188.75,186.75,176.25,154.5,162.25,179.25,163.75,0
191.25,188.25,176.5,154.25,159.25,177.75,164,0
191.25,187,174.75,154,160.25,179.5,163.75,0
191,187,175.25,154.75,161,179.5,164,0
189.25,187,177.75,155.25,159.5,177.75,162.75,0
191.25,188,175.5,153.5,159.25,178.5,164.75,0
190,186.5,175,153.5,160.75,179,164.5,0
190.25,187.25,175.5,154.25,160,178.5,164,0
189.25,187.25,176.5,154.5,160.5,178.25,162.75,0
191.5,188.5,175,152.75,160,179,165.25,0
189.75,186.5,175,154,161.75,180,163.75,0
190.5,187.75,176.5,155,160.5,178.25,163,0
191,189,176.5,153.75,158.25,178.5,164.5,0
190.25,187.75,174.75,153.75,160.75,180,164.25,0
190,187.25,176.75,154.75,160,178.75,163.5,0
192.25,188,175,154,159.75,178.25,164.25,0
191,188,176.25,154.5,161.5,178.5,164.5,0
191.5,187.5,174.5,153.75,161.5,179.5,166,0
189,187.25,176.5,154.5,160,178.25,162.5,0
191,188.5,176,154,161,178.75,164.75,0
190.75,187.75,175.25,154.5,160.5,179.75,165,0
190.5,186.75,176.25,155.75,162.25,179.25,164,0
191,188.75,175.25,154,160,178.5,164,0
190.75,187,175.5,154.75,161.25,179.75,163.75,0
191,188.5,175.75,154,159.5,178.75,164.5,0
190.75,187.25,175.5,154,160.75,179.5,164,0
191.5,189,176.25,154.75,160.25,178.5,164.75,0
190.25,188.5,175.75,154.5,160.5,179.5,164.5,0
190.75,187.5,175.25,154.25,160.75,179.5,164,0
190,188.5,177,154.75,161,178.75,165.5,0
191,187.75,175.75,154.25,160.75,179.75,165,0
190.5,188.25,176.25,154.25,160,177.75,164.25,0
191.5,187.5,175.75,154.25,161,180,165,0
190.5,187.5,176,154,161.75,178.25,163.75,0
191.5,188.25,176,152.75,160.25,179,163.25,0
191.25,187.5,176,154,160.5,179.25,165.5,0
190.25,188.5,174.25,155,160.5,179.75,164.5,0
189.75,188.25,176,153.75,160.5,179,164.75,0
191.25,188,175.75,155,160.5,179,164.5,0
191.25,188.25,175.75,154,159.5,179.25,165,0
189.5,187.25,176.5,155.25,161.75,179.75,164.75,0
191,189,177,154.5,160.25,178.25,164.75,0
191,186.75,175.75,154.25,161.75,179.75,165.25,0
190.75,188,175.5,154.25,162.25,179.5,164,0
190.75,188,176,154,159.25,179.25,164.25,0
189.5,187.25,175.25,153.75,160.25,179.5,164,0
189.75,187.5,176.5,155.75,159.75,179,164.25,0
190.25,187,176.75,155,162.25,179,164.5,0
191.25,188.5,176.25,155.25,161.5,178.5,164.25,0
191.25,186.5,175.25,154,161.25,178.5,165.5,0
189.25,187.25,176.25,154.75,161,179.25,162,0
192,189,176.75,155.5,160.25,178.5,165.25,0
191.25,187.75,175.25,153.75,160.75,178.75,165.25,0
190,186.5,175.75,154.75,162.5,179.5,164.5,0
192,187.25,175.75,155,162.5,179.25,163.5,0
190.25,188,176.25,154.75,160.5,179.5,163.25,0
191,187.5,175.25,154.25,160,179.5,164.25,0
190,187,175.5,155.25,160.25,179.75,163.5,0
190.5,188.25,176.5,154.5,160,178.5,163.75,0
191.5,187.25,174.75,154,161,180,165,0
190.5,187.5,176.5,154.75,160.75,180.25,164,0
191,186.25,176.5,155,161.25,179.25,163.5,0
191.75,188.75,176.25,155,160.75,180,164.25,0
192,188.5,175.75,154.5,161.5,179.75,163.5,0
190.5,187.75,175.25,155.25,160.75,179.5,164.25,0
191,188.25,175.75,154.25,160.25,178.25,164,0
192,188,175.25,154.75,161.25,179.25,166.5,0
190.25,187,175.75,155.5,160.25,179.5,164.75,0
191.25,188.25,176.5,154,160.5,178.75,164.25,0
191.5,187.25,176.75,155,161.75,179.5,165,0
191.25,187,176,154.5,160.75,179.5,163,0
191.25,187.5,176,155,160.5,179.5,163.75,0
191.5,187.75,175.5,155,161,180,164.25,0
190.75,188.5,174.5,154,160.5,179.75,164.75,0
190.25,187,175.5,155.5,161,179.25,164,0
190,188.5,176.5,154,161,178.75,163.5,0
191.25,187.75,175,155,160.75,180.25,164.5,0
190.5,187.25,177.5,154.5,161.25,180.25,163.75,0
190.5,188,176.5,155,160.5,179.5,164,0
190.5,188.5,176.25,154.25,160.75,179.25,163.25,0
190.5,187,174.75,154.75,159.75,178.25,163.75,0
190.5,188,175,154.5,160.75,179.75,164,0
189.5,187.5,176,154.75,160,179.25,163,0
192.25,188.25,175.75,155,160.75,178.5,165,0
190.5,187.25,175.5,155,159.5,179.25,163,0
190.5,187.75,175.5,155,161,179.5,165.25,0
190.5,188.25,175.75,155,160.25,179,163.25,0
191.25,188.25,174.5,154.25,161.5,179.75,164,0
190.25,187.25,175.5,154.25,161.25,179.5,164.75,0
190.5,187.75,175.75,154.75,161,179,163.75,0
191.25,188,176,155.75,160.5,179,165.25,0
190.25,188.25,175.25,154.5,161.5,180.25,164.75,0
190,187.75,176,154.25,160.25,178.75,164.25,0
191,187.5,175,154,160.25,180.25,165.5,0
191,187.75,176,154.25,161,178.5,164,0
190.75,187.25,175.25,154.25,161.25,179.75,163,0
191,188,174.5,155,160.75,179.75,164,0
191,187.5,175.25,153.5,160.25,179.5,165.5,0
191,188.25,175.25,153.5,161,179,164.5,0
190.25,187.5,176.25,154.25,161.75,179.25,164.25,0
191,188.75,176.25,154.75,161.25,177.75,164.25,0
189.5,187.5,175.25,155,161.25,180.5,164.25,0
190.5,188,176.25,155.25,161.25,179.25,164.25,0
190.5,188.5,175.5,154.5,160.75,179.5,164.5,0
191.5,188.25,175.5,154.25,159.25,178.75,162.75,0
189.75,187.5,175.25,154.5,160.75,180,164,0
190.75,187,175.5,154.75,159.25,179,164.25,0
190.5,187.75,175.75,155,161,179,164,0
190.25,187.75,175.25,154.75,160.25,179.25,164.5,0
189.5,186.5,176,155,161.5,178.5,163.5,0
188.75,188.5,175,153.5,161.25,179.75,164,0
189.5,187.5,174.25,155.25,162,179,163.25,0
190.75,188,175,153.75,160.25,179.75,164,0
190.5,188,175.25,155.25,161.5,179,163.75,0
190.5,188.25,175.25,154,161,179.5,163.75,0
190,187.75,176,155.5,160.5,178.75,163.25,0
190.5,187.25,174.5,153.75,161,179.75,164.5,0
190.25,187.25,175.75,155,160,178.5,164.25,0
191.25,187.5,174.75,154.5,162,179.25,164.25,0
190,188.25,175.75,155.25,160.75,179.75,164.5,0
191.25,188,175.25,154.5,162,179.75,165.25,0
190.5,188.25,176,154.5,160.25,179.25,164,0
190.75,187.75,175,155,160.5,179.75,165.25,0
189.25,188.5,175.5,154.75,161.5,179,164.5,0
190,187.5,175,155,161.5,180,166.25,0
191,188.25,175.25,154.75,160.75,179.25,165,0
191,186.5,175,155,161,180.75,164.25,0
190.25,188,176,155,160.25,178,162.5,0
189.5,188,175.5,154.25,161,179.5,164.25,0
190.5,187.5,175.5,155,161,179.5,164,0
189.5,186.5,175.5,155.25,160.5,179.75,164.25,0
191,188.75,176,155,161.25,178.5,164.25,0
190.25,187.75,177.25,154.75,160.25,179.5,164,0
191.5,188.25,175.75,154.25,160.25,180,164.75,0
189.5,187,175.75,155.75,160.25,178.75,162.25,0
191,187.75,175.75,154.25,159.75,178.5,164.5,0
191,187.5,175,155,162.25,180.25,162.75,0
189.5,187.5,174.75,153.75,161.25,179.75,164.75,0
190.25,187.75,176.25,155.5,160.25,179,163.25,0
192.25,188.5,175.5,154.25,160.75,179.25,162.5,0
189.75,187,174.75,155.25,162.25,179.5,164,0
189.25,187.5,175,154.25,162,179.75,166,0
189.25,187.5,176.25,155,160.25,178.75,164.25,0
192,187.25,175,154,160.5,179.25,165.5,0
190,186.5,175.25,154.75,162,180,163.5,0
189.75,187,175.75,155.75,162.25,179,162.25,0
190.25,189,174.25,153.5,159.5,178,163,0
190.5,186.25,174.25,154.25,161.5,180.75,165.5,0
190.25,188.25,176,155.5,163,178.25,164,0
190.25,188,175.5,155,161,179.25,164.5,0
191.25,188.75,175.5,154.25,160.75,178.75,164.25,0
191,187,174.25,154.5,162.25,180.75,164.75,0
189.5,187.5,176.5,155.75,161,178.25,163.75,0
191.25,187.75,176,155.25,161,178.5,164,0
191.5,188,174.5,154.5,160.75,180,165.5,0
188.25,186,174.5,155.75,162.5,180.5,163.25,0
191.25,189.25,177.25,155,160,179,164.25,0
191,187.5,175.75,154.25,161.25,179.75,165,0
190,187.5,175.5,153.25,161.75,180.25,164.75,0
189,187.25,174.75,156,163.5,179,163.75,0
190.25,190,176.5,154.75,161,178.75,164.75,0
191.25,187.75,174.75,154.5,161,180,165,0
190.5,187,175.25,154.25,162.25,180.75,164,0
189.5,188.25,177.25,156.75,161.25,179,162.5,0
192.75,188.75,175.25,153.25,160.5,179.25,165.75,0
189.25,187,174.75,156,162.75,180.5,164,0
190.5,188,176,155,161.25,179.5,164.25,0
192,189.25,176.25,155,160.75,179.25,165.5,0
192,188.5,175.75,155.25,161,179.75,164.5,0
190.25,187,175.25,155.5,162.5,180.25,164.25,0
189.75,188,175.5,156,161.75,179.75,163.75,0
191,189,175.75,154.5,161,179.25,165.25,0
190,186.25,174.25,155,163.75,181.5,165,0
190,187.5,176.75,156.25,163,179.5,165.25,0
191.5,188.25,175,154.25,161.25,180,165.5,0
190.25,187.75,176,154.75,160.75,179.5,164,0
190,187.5,176,155.5,162,180.25,165,0
190.5,188.25,176,155.75,161.75,179.75,164.75,0
190.75,188,175.75,155.75,161.5,179.75,165.5,0
190.75,188.25,174,154.5,161,180.75,165.25,0
189.5,187.5,176.25,154.75,162,179.75,164.75,0
191,189.25,175.5,155,161.75,179.75,166,0
190,187.5,175.5,156.5,162.25,180.75,164.75,0
190.75,188.75,175.25,155,161.5,178.75,165.25,0
190.75,187.75,176,155.25,161.25,180.75,164.25,0
190,187,175.75,155.75,160.5,179.25,166,0
190.5,188,176,155.5,161,180.25,164.75,0
190.5,188,176,155.5,161.75,180.25,164.5,0
190.75,188,176,155.75,161.25,179.25,164.5,0
190.25,187.25,175.5,155,162,180.75,165,0
190.25,188,175.25,156.75,161,179.25,164.25,0
191,188,174,154.75,161.5,180.5,165.5,0
189.25,187.5,176,155.75,161.75,180,164.25,0
191.25,189.25,176,155,161.5,179.75,165.25,0
187.25,187.5,175.25,155.25,161.75,180.75,165,0
189.25,187.5,176.25,155.75,161.5,179.75,163.25,0
191,189,175.5,155.25,161.25,180.5,164.25,0
189.25,187.75,175.25,155,162.5,180.5,165.25,0
191.75,189,174.5,155.5,162,180.75,164.75,0
189.75,188.25,175.75,156,161.5,179.75,165,0
191.25,188.75,176.5,155,161,178.75,165.75,0
190.25,186.75,175.25,156,162.25,181.5,165.25,0
189.75,188,176.25,155.75,162.25,179.5,165,0
191.25,189.5,176.25,155.75,161.5,180,164.25,0
190.75,187.25,175.5,155,162,180.5,165.25,0
190.75,188,175.5,156,161.25,179.25,164.25,0
190.25,187,174.25,155.5,160.5,180.25,165,0
191,188.25,176.25,155.75,161.5,178.75,164.75,0
190,188,174,156.25,160.75,181,164.75,0
190,188,176.25,156.25,162.25,179.75,164.5,0
191.5,187.5,175.5,154.5,160.75,179.25,165.25,0
191,187.75,175.5,155.5,161.5,180,164.5,0
190.25,188.5,176.5,155.75,162.25,180.75,164,0
191,188.25,175.75,154.25,161.5,180.25,164.25,0
191,189,176.5,154.75,162.5,179.75,165,0
190.75,188.25,175.5,154.25,161.25,180,164.25,0
190.25,188.5,175.75,155.5,162.5,180.25,164.75,0
191.25,188.75,175.5,155,161.75,179.75,165.25,0
191,187.75,174.25,154.75,162.25,181,165.75,0
190.25,188.5,176.5,155.5,162.25,180,164,0
190.25,189,176,155.75,162.75,179.75,164.5,0
191.5,186.5,175.5,155.5,162,180,164.75,0
190.75,187.5,176,156,161.5,180.25,164.5,0
191.25,188.25,177.25,154.75,161.25,179.75,164.75,0
190.5,188.25,176.75,156,160.75,179.75,165,0
190.25,187.25,175.25,154.5,161.25,181.25,165.75,0
189,187,176.25,155.75,163.75,180.75,164.5,0
191.25,188.75,176.5,155,161,179.75,166.75,0
191,187.75,175.25,156,161,180.5,164.75,0
190.75,187.25,175,155.75,162.5,180.25,164.25,0
189.75,188.75,176.5,155.75,161.75,180.5,165,0
190,188.25,175.25,154.75,162.25,180.25,163.25,0
190.75,189.5,175.25,155,161.25,180.75,165,0
190.5,187.75,175.75,156.5,161.75,180.75,164.75,0
191,189,175.75,154.75,159.5,179.25,164.5,0
190.5,188.5,175,154.75,162,180,165.25,0
190.25,188.25,176,155.25,162,180.5,164.75,0
190.25,187.25,176.25,156.25,160.5,179.75,165.25,0
191.25,188.25,175.5,154.75,161.75,180.5,165.5,0
189.25,188.25,175.75,156,162,179.75,164,0
190.75,187.5,174.75,155.75,161.75,180,165.5,0
