Feature1,Feature2,Feature3,Feature4,Label
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
